variables,units,values,description
G_full,Pa,"[8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10
 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10
 8.08e+10 8.08e+10]",
rho_full,kg/m**3,"[8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500.
 8500. 8500. 8500. 8500. 8500. 8500.]",
sigma_y_full,N/m**2,"[4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08
 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08]",
post1.tower_Fz,N,"[-10773375.69869501 -10401167.82707527 -10066775.73417211
  -9336147.09359425  -8615622.42017318  -7905201.8096738
  -7716517.71503125  -7527833.6203887   -7339149.52574619
  -5983121.95012491  -5607727.37450363  -5232332.79888237
  -5003311.45628649  -4774290.1136906   -4545268.77109472
  -3984509.46683157  -3440794.85199195  -2914124.84400511]",
post1.tower_Vx,N,"[ -137166.84143935 -1107498.42112334 -5086763.63691474  1376339.96970513
  1358508.31725175  1318841.08880987  1307888.25065527  1307392.39850825
  1306819.43181505  1305976.88074554  1304242.06891879  1302300.59722938
  1299191.74224827  1296926.09373031  1294524.28252397  1295124.10301201
  1292471.44747118  1289810.08674141]",
post1.tower_Vy,N,"[ 3.73202873e+03  3.03371330e+04  1.43210673e+05 -1.84297168e+01
 -3.84249592e+01 -5.86613193e+01 -1.95794449e+01 -2.19516385e+01
 -2.43204538e+01 -5.86203725e+01 -7.43310762e+01 -8.99652176e+01
 -6.73735931e+01 -8.27598317e+01 -9.80298123e+01 -2.66420739e+02
 -2.74186482e+02 -2.82329457e+02]",
post1.tower_Mxx,N*m,"[  12736.42760703  194917.80927287 1890891.17042366 4263241.96136258
 4253284.69766845 4239056.93691785 4233571.21529388 4227586.24836439
 4221117.57616726 4204005.87448035 4183576.33526137 4160401.21635662
 4133857.76988719 4102679.73400865 4067439.50397154 4030200.73945863
 3995551.7669291  3963745.31104245]",
post1.tower_Myy,N*m,"[ 4.79317994e+05  7.35183802e+06  6.99265004e+07  1.45674779e+08
  1.31644453e+08  1.17763551e+08  1.13214437e+08  1.08664688e+08
  1.04105465e+08  9.23327793e+07  8.05126771e+07  6.86703666e+07
  5.68081707e+07  4.49163206e+07  3.30188724e+07  2.11500405e+07
  9.38389157e+06 -2.27509470e+06]",
post1.tower_Mzz,N*m,"[ -21446.51261173  -55219.80159029 -131421.51965525 -346830.97951572
 -346828.04232307 -346825.07252887 -346831.64961254 -346830.4567988
 -346829.26399327 -346833.93630209 -346830.85086705 -346827.7654869
 -346852.16699463 -346849.08123488 -346845.99553004 -346806.68560187
 -346804.28781686 -346801.83470342]",
post1.qdyn,N/m**2,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 3.11652803e+05
 2.12427548e+05 1.16157133e+05 2.41202653e+04 4.36486916e+01
 5.01391803e+01 5.43745257e+01 6.15746260e+01 6.64432814e+01
 7.01994460e+01 7.32901808e+01 7.59333497e+01 7.82527172e+01
 8.03258187e+01 8.22046649e+01 8.39259571e+01]",
life,,[0.],
wind2.Uref,m/s,[70.],
wind2.z,m,"[-55.         -46.66666667 -38.33333333 -30.         -20.
 -10.           0.           3.33333333   6.66666667  10.
  18.62222222  27.24444444  35.86666667  44.48888889  53.11111111
  61.73333333  70.35555556  78.97777778  87.6       ]",
wind2.windLoads.U,m/s,"[ 0.          0.          0.          0.          0.          0.
  0.         50.34561653 53.95909575 56.19190932 59.79666177 62.11572874
 63.8473521  65.23774562 66.40370748 67.41022269 68.29731474 69.09144568
 69.81105476]",
wind2.d,m,"[8.         7.2968709  6.59374181 5.89061271 5.81037014 5.73012756
 5.64988498 5.64988498 5.64988498 5.64988498 5.64988498 5.64988498
 5.64988497 5.64988496 5.64988495 5.64988494 5.48207058 5.31425622
 5.14644186]",
wind2.waveLoads.U,m/s,"[0.         0.         0.         0.71725905 0.80616267 1.09491257
 1.65508933 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",
wind2.waveLoads.A,m/s**2,"[0.         0.         0.         0.47338987 0.53206612 0.72264061
 1.09235641 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",
wind2.waveLoads.p,N/m**2,"[     0.              0.              0.         311389.1416792
 212094.47541868 115542.73105791  22716.363445        0.
      0.              0.              0.              0.
      0.              0.              0.              0.
      0.              0.              0.        ]",
wind2.distLoads.windLoads_Px,N/m,"[    0.             0.             0.             0.
     0.             0.             0.          7019.50918752
  8348.09162514  9257.28556832 10877.57653492 12025.23682384
 12938.6816246  13708.29736486 14379.17492981 14977.40630421
 14738.05717531 14423.98740611 14052.16339733]",
wind2.distLoads.windLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
wind2.distLoads.windLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
wind2.distLoads.windLoads_qdyn,N/m**2,"[   0.            0.            0.            0.            0.
    0.            0.         1552.49217624 1783.34520899 1933.98753745
 2190.07996449 2363.24780102 2496.84667643 2606.77761559 2700.7895752
 2783.28460038 2857.02046012 2923.84706824 2985.0698117 ]",
wind2.distLoads.windLoads_z,m,"[-55.         -46.66666667 -38.33333333 -30.         -20.
 -10.           0.           3.33333333   6.66666667  10.
  18.62222222  27.24444444  35.86666667  44.48888889  53.11111111
  61.73333333  70.35555556  78.97777778  87.6       ]",
wind2.distLoads.windLoads_beta,deg,[0.],
wind2.distLoads.waveLoads_Px,N/m,"[   0.            0.            0.          971.1344686  1249.71327642
 2453.02022497 5605.08840194    0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.        ]",
wind2.distLoads.waveLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
wind2.distLoads.waveLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
wind2.distLoads.waveLoads_qdyn,N/m**2,"[     0.              0.              0.         311652.80270994
 212427.54827157 116157.13324387  24120.26530498      0.
      0.              0.              0.              0.
      0.              0.              0.              0.
      0.              0.              0.        ]",
wind2.distLoads.waveLoads_z,m,"[-55.         -46.66666667 -38.33333333 -30.         -20.
 -10.           0.           3.33333333   6.66666667  10.
  18.62222222  27.24444444  35.86666667  44.48888889  53.11111111
  61.73333333  70.35555556  78.97777778  87.6       ]",
wind2.distLoads.waveLoads_beta,deg,[0.],
pre2.rna_F,N,[  930198.60063279        0.         -2883106.12368949],
pre2.rna_M,N*m,[-1683669.22411597 -2522475.34625363   147301.97023764],
pre2.z_soil,N/m,"[-25.         -22.22222222 -19.44444444 -16.66666667 -13.88888889
 -11.11111111  -8.33333333  -5.55555556  -2.77777778  -0.        ]",
pre2.k_soil,N/m,"[[1.83915789e+10 3.33013333e+12 1.83915789e+10 3.33013333e+12
  1.21333333e+10 4.77866667e+10]
 [1.66624561e+10 2.38414388e+12 1.66624561e+10 2.38414388e+12
  1.12000000e+10 4.77866667e+10]
 [1.49333333e+10 1.64300125e+12 1.49333333e+10 1.64300125e+12
  1.02666667e+10 4.77866667e+10]
 [1.32042105e+10 1.08109959e+12 1.32042105e+10 1.08109959e+12
  9.33333333e+09 4.77866667e+10]
 [1.14750877e+10 6.72833044e+11 1.14750877e+10 6.72833044e+11
  8.40000000e+09 4.77866667e+10]
 [9.74596491e+09 3.92595763e+11 9.74596491e+09 3.92595763e+11
  7.46666667e+09 4.77866667e+10]
 [8.01684211e+09 2.14781893e+11 8.01684211e+09 2.14781893e+11
  6.53333333e+09 4.77866667e+10]
 [6.28771930e+09 1.13785581e+11 6.28771930e+09 1.13785581e+11
  5.60000000e+09 4.77866667e+10]
 [4.55859649e+09 6.40009755e+10 4.55859649e+09 6.40009755e+10
  4.66666667e+09 4.77866667e+10]
 [2.82947368e+09 3.98222222e+10 2.82947368e+09 3.98222222e+10
  3.73333333e+09 4.77866667e+10]]",
tower2.z,m,"[-55.         -46.66666667 -38.33333333 -30.         -20.
 -10.           0.           3.33333333   6.66666667  10.
  18.62222222  27.24444444  35.86666667  44.48888889  53.11111111
  61.73333333  70.35555556  78.97777778  87.6       ]",
tower2.E,N/m**2,"[2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11
 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11]",
tower2.G,N/m**2,"[8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10
 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10
 8.08e+10 8.08e+10]",
tower2.rho,kg/m**3,"[8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500.
 8500. 8500. 8500. 8500. 8500. 8500.]",
tower2.d,m,"[8.         7.2968709  6.59374181 5.89061271 5.81037014 5.73012756
 5.64988498 5.64988498 5.64988498 5.64988498 5.64988498 5.64988498
 5.64988497 5.64988496 5.64988495 5.64988494 5.48207058 5.31425622
 5.14644186]",
tower2.t,m,"[0.02464586 0.02464586 0.02464586 0.04808541 0.04808541 0.04808541
 0.03852236 0.03852236 0.03852236 0.02958243 0.02958243 0.02958243
 0.01801061 0.01801061 0.01801061 0.0449847  0.0449847  0.0449847 ]",
tower2.kidx,,[0. 1. 2. 3.],
tower2.kx,N/m,[1.83915789e+10 1.63166316e+10 1.11292632e+10 5.94189474e+09],
tower2.ky,N/m,[1.83915789e+10 1.63166316e+10 1.11292632e+10 5.94189474e+09],
tower2.kz,N/m,[1.21333333e+10 0.00000000e+00 0.00000000e+00 0.00000000e+00],
tower2.ktx,N/m,[3.33013333e+12 2.23591535e+12 6.16785588e+11 1.03828660e+11],
tower2.kty,N/m,[3.33013333e+12 2.23591535e+12 6.16785588e+11 1.03828660e+11],
tower2.ktz,N/m,[4.77866667e+10 4.77866667e+10 4.77866667e+10 4.77866667e+10],
tower2.midx,,[9. 0.],
tower2.m,kg,[100000.      0.],
tower2.mIxx,kg*m**2,[399015.00380968      0.        ],
tower2.mIyy,kg*m**2,[399015.00380968      0.        ],
tower2.mIzz,kg*m**2,[798030.00761936      0.        ],
tower2.mIxy,kg*m**2,[0. 0.],
tower2.mIxz,kg*m**2,[0. 0.],
tower2.mIyz,kg*m**2,[0. 0.],
tower2.mrhox,m,[0. 0.],
tower2.mrhoy,m,[0. 0.],
tower2.mrhoz,m,[0. 0.],
tower2.plidx,,[18.],
tower2.Fx,N,[930198.60063279],
tower2.Fy,N,[0.],
tower2.Fz,N,[-2883106.12368949],
tower2.Mxx,N*m,[-1683669.22411597],
tower2.Myy,N*m,[-2522475.34625363],
tower2.Mzz,N*m,[147301.97023764],
