variables,units,values,description
blade.interp_airfoils.r_thick,,[1.    0.5   0.211 0.241 0.27  0.301 0.33  0.36 ],1D array of the relative thicknesses of each airfoil.
blade.interp_airfoils.aoa,rad,"[-3.14159265 -3.08923278 -3.0368729  -2.98451302 -2.93215314 -2.87979327
 -2.82743339 -2.77507351 -2.72271363 -2.67035376 -2.61799388 -2.565634
 -2.51327412 -2.46091425 -2.40855437 -2.35619449 -2.30383461 -2.25147474
 -2.19911486 -2.14675498 -2.0943951  -2.04203522 -1.98967535 -1.93731547
 -1.88495559 -1.83259571 -1.78023584 -1.72787596 -1.67551608 -1.6231562
 -1.57079633 -1.51843645 -1.46607657 -1.41371669 -1.36135682 -1.30899694
 -1.25663706 -1.20427718 -1.15191731 -1.09955743 -1.04719755 -0.99483767
 -0.9424778  -0.89011792 -0.83775804 -0.78539816 -0.73303829 -0.68067841
 -0.62831853 -0.57595865 -0.52359878 -0.51302102 -0.50244327 -0.49186552
 -0.48128776 -0.47071001 -0.46013226 -0.4495545  -0.43897675 -0.428399
 -0.41782125 -0.40724349 -0.39666574 -0.38608799 -0.37551023 -0.36493248
 -0.35435473 -0.34377697 -0.33319922 -0.32262147 -0.31204371 -0.30146596
 -0.29088821 -0.28031046 -0.2697327  -0.25915495 -0.2485772  -0.23799944
 -0.22742169 -0.21684394 -0.20626618 -0.19568843 -0.18511068 -0.17453293
 -0.16395517 -0.15337742 -0.14279967 -0.13222191 -0.12164416 -0.11106641
 -0.10048865 -0.0899109  -0.07933315 -0.06875539 -0.05817764 -0.04759989
 -0.03702214 -0.02644438 -0.01586663 -0.00528888  0.00528888  0.01586663
  0.02644438  0.03702214  0.04759989  0.05817764  0.06875539  0.07933315
  0.0899109   0.10048865  0.11106641  0.12164416  0.13222191  0.14279967
  0.15337742  0.16395517  0.17453293  0.18511068  0.19568843  0.20626618
  0.21684394  0.22742169  0.23799944  0.2485772   0.25915495  0.2697327
  0.28031046  0.29088821  0.30146596  0.31204371  0.32262147  0.33319922
  0.34377697  0.35435473  0.36493248  0.37551023  0.38608799  0.39666574
  0.40724349  0.41782125  0.428399    0.43897675  0.4495545   0.46013226
  0.47071001  0.48128776  0.49186552  0.50244327  0.51302102  0.52359878
  0.57595865  0.62831853  0.68067841  0.73303829  0.78539816  0.83775804
  0.89011792  0.9424778   0.99483767  1.04719755  1.09955743  1.15191731
  1.20427718  1.25663706  1.30899694  1.36135682  1.41371669  1.46607657
  1.51843645  1.57079633  1.6231562   1.67551608  1.72787596  1.78023584
  1.83259571  1.88495559  1.93731547  1.98967535  2.04203522  2.0943951
  2.14675498  2.19911486  2.25147474  2.30383461  2.35619449  2.40855437
  2.46091425  2.51327412  2.565634    2.61799388  2.67035376  2.72271363
  2.77507351  2.82743339  2.87979327  2.93215314  2.98451302  3.0368729
  3.08923278  3.14159265]",1D array of the angles of attack used to define the polars of the airfoils. All airfoils defined in openmdao share this grid.
blade.interp_airfoils.cl,,"[[[[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  ...

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.31516249e-01]
   [ 1.31516249e-01]
   [ 1.31516249e-01]]

  [[ 2.64538152e-01]
   [ 2.64538152e-01]
   [ 2.64538152e-01]]

  ...

  [[-2.64478288e-01]
   [-2.64478288e-01]
   [-2.64478288e-01]]

  [[-1.31486487e-01]
   [-1.31486487e-01]
   [-1.31486487e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 7.09078783e-02]
   [ 7.09078783e-02]
   [ 7.09078783e-02]]

  [[ 1.41815756e-01]
   [ 1.41815756e-01]
   [ 1.41815756e-01]]

  ...

  [[-1.41815756e-01]
   [-1.41815756e-01]
   [-1.41815756e-01]]

  [[-7.09078783e-02]
   [-7.09078783e-02]
   [-7.09078783e-02]]

  [[ 4.85722573e-18]
   [ 4.85722573e-18]
   [ 4.85722573e-18]]]


 ...


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 8.54201253e-02]
   [ 8.54201253e-02]
   [ 8.54201253e-02]]

  [[ 1.70840249e-01]
   [ 1.70840249e-01]
   [ 1.70840249e-01]]

  ...

  [[-1.70840249e-01]
   [-1.70840249e-01]
   [-1.70840249e-01]]

  [[-8.54201253e-02]
   [-8.54201253e-02]
   [-8.54201253e-02]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 9.13519690e-02]
   [ 9.13519690e-02]
   [ 9.13519690e-02]]

  [[ 1.82703937e-01]
   [ 1.82703937e-01]
   [ 1.82703937e-01]]

  ...

  [[-1.82703937e-01]
   [-1.82703937e-01]
   [-1.82703937e-01]]

  [[-9.13519690e-02]
   [-9.13519690e-02]
   [-9.13519690e-02]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 9.42132190e-02]
   [ 9.42132190e-02]
   [ 9.42132190e-02]]

  [[ 1.88426437e-01]
   [ 1.88426437e-01]
   [ 1.88426437e-01]]

  ...

  [[-1.88426437e-01]
   [-1.88426437e-01]
   [-1.88426437e-01]]

  [[-9.42132190e-02]
   [-9.42132190e-02]
   [-9.42132190e-02]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]]","4D array with the lift coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.cd,,"[[[[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  ...

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]]


 [[[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  ...

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]]


 [[[0.02464146]
   [0.02464146]
   [0.02464146]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  ...

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02464146]
   [0.02464146]
   [0.02464146]]]


 ...


 [[[0.02453989]
   [0.02453989]
   [0.02453989]]

  [[0.02570383]
   [0.02570383]
   [0.02570383]]

  [[0.02880856]
   [0.02880856]
   [0.02880856]]

  ...

  [[0.02880856]
   [0.02880856]
   [0.02880856]]

  [[0.02570383]
   [0.02570383]
   [0.02570383]]

  [[0.02453989]
   [0.02453989]
   [0.02453989]]]


 [[[0.03168572]
   [0.03168572]
   [0.03168572]]

  [[0.03283864]
   [0.03283864]
   [0.03283864]]

  [[0.03591391]
   [0.03591391]
   [0.03591391]]

  ...

  [[0.03591391]
   [0.03591391]
   [0.03591391]]

  [[0.03283864]
   [0.03283864]
   [0.03283864]]

  [[0.03168572]
   [0.03168572]
   [0.03168572]]]


 [[[0.03714767]
   [0.03714767]
   [0.03714767]]

  [[0.03829218]
   [0.03829218]
   [0.03829218]]

  [[0.04134493]
   [0.04134493]
   [0.04134493]]

  ...

  [[0.04134493]
   [0.04134493]
   [0.04134493]]

  [[0.03829218]
   [0.03829218]
   [0.03829218]]

  [[0.03714767]
   [0.03714767]
   [0.03714767]]]]","4D array with the drag coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.cm,,"[[[[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  ...

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 9.30048148e-02]
   [ 9.30048148e-02]
   [ 9.30048148e-02]]

  [[ 1.87074389e-01]
   [ 1.87074389e-01]
   [ 1.87074389e-01]]

  ...

  [[-2.33828020e-01]
   [-2.33828020e-01]
   [-2.33828020e-01]]

  [[-1.16248578e-01]
   [-1.16248578e-01]
   [-1.16248578e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.20000000e-01]
   [ 1.20000000e-01]
   [ 1.20000000e-01]]

  [[ 2.39999999e-01]
   [ 2.39999999e-01]
   [ 2.39999999e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50000000e-01]
   [-1.50000000e-01]
   [-1.50000000e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 ...


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.20000000e-01]
   [ 1.20000000e-01]
   [ 1.20000000e-01]]

  [[ 2.39999999e-01]
   [ 2.39999999e-01]
   [ 2.39999999e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50000000e-01]
   [-1.50000000e-01]
   [-1.50000000e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.20000000e-01]
   [ 1.20000000e-01]
   [ 1.20000000e-01]]

  [[ 2.39999999e-01]
   [ 2.39999999e-01]
   [ 2.39999999e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50000000e-01]
   [-1.50000000e-01]
   [-1.50000000e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.20000000e-01]
   [ 1.20000000e-01]
   [ 1.20000000e-01]]

  [[ 2.39999999e-01]
   [ 2.39999999e-01]
   [ 2.39999999e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50000000e-01]
   [-1.50000000e-01]
   [-1.50000000e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]]","4D array with the moment coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.coord_xy,,"[[[ 1.00000000e+00  0.00000000e+00]
  [ 9.99429684e-01 -2.22597407e-02]
  [ 9.98063018e-01 -4.44580349e-02]
  ...
  [ 9.98120489e-01  4.38394581e-02]
  [ 9.99443038e-01  2.19496514e-02]
  [ 1.00000000e+00 -3.99929253e-18]]

 [[ 1.00000000e+00 -9.70000080e-03]
  [ 9.72814821e-01 -1.34271661e-02]
  [ 9.46027311e-01 -1.93111175e-02]
  ...
  [ 9.53709610e-01  3.92185257e-02]
  [ 9.77051006e-01  2.52011977e-02]
  [ 1.00000000e+00  1.05000009e-02]]

 [[ 1.00000000e+00 -3.70000002e-04]
  [ 9.76017568e-01  1.85612806e-03]
  [ 9.52031329e-01  3.74786895e-03]
  ...
  [ 9.52381403e-01  9.04894497e-03]
  [ 9.76165313e-01  4.91834091e-03]
  [ 1.00000000e+00  9.40000004e-04]]

 ...

 [[ 1.00000000e+00 -9.10000000e-03]
  [ 9.75116889e-01 -4.40898297e-03]
  [ 9.50017014e-01 -1.26771088e-03]
  ...
  [ 9.51764407e-01  2.05476003e-02]
  [ 9.75878254e-01  1.48539412e-02]
  [ 1.00000000e+00  9.10000000e-03]]

 [[ 1.00000000e+00 -1.16300032e-02]
  [ 9.82438965e-01 -7.14313782e-03]
  [ 9.64617753e-01 -3.89224202e-03]
  ...
  [ 9.65605215e-01  2.12979180e-02]
  [ 9.82805584e-01  1.69005366e-02]
  [ 1.00000000e+00  1.24500035e-02]]

 [[ 1.00000000e+00 -7.00000069e-04]
  [ 9.74085396e-01 -2.58383565e-03]
  [ 9.48123482e-01 -3.51119300e-03]
  ...
  [ 9.50802168e-01  2.72787770e-02]
  [ 9.75412980e-01  2.01917140e-02]
  [ 1.00000000e+00  1.29800013e-02]]]",3D array of the x and y airfoil coordinates of the n_af airfoils.
blade.interp_airfoils.name,Unavailable,"['circular', 'SNL-FFA-W3-500', 'FFA-W3-211', 'FFA-W3-241', 'FFA-W3-270blend', 'FFA-W3-301', 'FFA-W3-330blend', 'FFA-W3-360']",1D array of names of airfoils.
blade.high_level_blade_props.blade_ref_axis_user,m,"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 3.47038875e-02  0.00000000e+00  4.03448276e+00]
 [ 8.35457789e-02  0.00000000e+00  8.06896552e+00]
 [ 1.39221829e-01  0.00000000e+00  1.21034483e+01]
 [ 1.91620281e-01  0.00000000e+00  1.61379310e+01]
 [ 2.32058151e-01  0.00000000e+00  2.01724138e+01]
 [ 2.49748715e-01  0.00000000e+00  2.42068966e+01]
 [ 2.49576780e-01  0.00000000e+00  2.82413793e+01]
 [ 2.46161255e-01  0.00000000e+00  3.22758621e+01]
 [ 2.40468154e-01  0.00000000e+00  3.63103448e+01]
 [ 2.32897670e-01  0.00000000e+00  4.03448276e+01]
 [ 2.17967148e-01  0.00000000e+00  4.43793103e+01]
 [ 1.78171719e-01  0.00000000e+00  4.84137931e+01]
 [ 1.00328504e-01  0.00000000e+00  5.24482759e+01]
 [ 3.33661701e-04  0.00000000e+00  5.64827586e+01]
 [-1.11956965e-01  0.00000000e+00  6.05172414e+01]
 [-2.43745733e-01  0.00000000e+00  6.45517241e+01]
 [-4.15231916e-01  0.00000000e+00  6.85862069e+01]
 [-6.20301885e-01  0.00000000e+00  7.26206897e+01]
 [-8.46162280e-01  0.00000000e+00  7.66551724e+01]
 [-1.08028322e+00  0.00000000e+00  8.06896552e+01]
 [-1.32984337e+00  0.00000000e+00  8.47241379e+01]
 [-1.60241994e+00  0.00000000e+00  8.87586207e+01]
 [-1.89518421e+00  0.00000000e+00  9.27931034e+01]
 [-2.20216882e+00  0.00000000e+00  9.68275862e+01]
 [-2.52321796e+00  0.00000000e+00  1.00862069e+02]
 [-2.86378033e+00  0.00000000e+00  1.04896552e+02]
 [-3.22419386e+00  0.00000000e+00  1.08931034e+02]
 [-3.60472885e+00  0.00000000e+00  1.12965517e+02]
 [-4.00000000e+00  0.00000000e+00  1.17000000e+02]]","2D array of the coordinates (x,y,z) of the blade reference axis, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
blade.high_level_blade_props.rotor_diameter_user,m,[242.23775645],Diameter of the rotor specified by the user. It is defined as two times the blade length plus the hub diameter.
blade.high_level_blade_props.hub_radius,m,[3.97],Radius of the hub. It defines the distance of the blade root from the rotor center along the coned line.
